id	date	year
1	11/24/04	2005
2	03/22/05	2005
3	06/02/05	2005
4	06/14/05	2005
5	07/01/05	2005
6	08/31/05	2005
7	09/01/05	2005
8	10/01/05	2005
9	11/14/05	2005
10	12/09/05	2005
11	02/14/06	2006
12	04/06/06	2006
13	05/26/06	2006
14	06/14/06	2006
15	07/07/06	2006
16	08/03/06	2006
17	09/14/06	2006
18	10/25/06	2006
19	11/20/06	2006
20	12/21/06	2006
21	01/23/07	2007
22	01/30/07	2007
23	02/25/07	2007
24	03/16/07	2007
25	04/13/07	2007
26	05/24/07	2007
27	06/16/07	2007
28	07/23/07	2007
29	08/13/07	2007
30	09/06/07	2007
31	10/19/07	2007
32	11/12/07	2007
33	12/11/07	2007
34	01/01/08	2008
35	02/06/08	2008
36	03/01/08	2008
37	04/01/08	2008
38	06/17/08	2008
39	07/03/08	2008
40	09/18/08	2008
41	10/08/08	2008
42	11/19/08	2008
43	12/18/08	2008
44	01/20/09	
45	02/13/09	
46	03/20/09	
47	04/10/09	
48	07/20/09	
49	08/10/09	
50	09/15/09	
51	10/19/09	
52	11/06/09	
53	12/17/09	
54	02/16/10	
55	03/14/10	
56	04/14/10	
57	05/05/10	
58	06/19/10	
59	07/01/10	
60	08/24/10	
61	09/01/10	
62	10/19/10	
63	11/06/10	
64	12/27/10	
65	01/18/11	
66	02/22/11	
67	03/11/11	
68	04/26/11	
69	05/16/11	
70	07/14/11	
71	09/19/11	
72	11/16/11	
73	03/28/12	
74	04/19/12	
75	05/04/12	
76	07/19/12	
77	08/10/12	
78	09/16/12	
79	10/21/12	
80	11/15/12	
81	12/03/12	
82	01/15/13	
83	03/24/13	
84	04/17/13	
85	05/13/13	
86	06/07/13	
87	07/03/13	
88	08/23/13	
89	09/22/13	
90	10/23/13	
91	11/14/13	
92	12/06/13	
93	02/04/14	
94	04/15/14	
95	07/03/14	
96	08/05/14	
97	09/19/14	
98	10/28/14	
99	11/05/14	
100	12/19/14	
101	02/06/15	
102	03/01/15	
103	04/10/15	
104	05/18/15	
105	06/29/15	
106	08/20/15	
107	09/19/15	
108	10/22/16	
109	12/13/16	
110	02/16/17	
111	03/24/17	
